iter	Passed	Remaining
0	0	149
1	2	362
2	3	306
3	3	273
4	4	253
5	6	303
6	8	338
7	10	388
8	17	562
9	18	522
10	19	499
11	19	471
12	20	455
13	21	438
14	22	426
15	23	416
16	24	413
17	25	401
18	27	402
19	29	412
20	30	401
21	32	405
22	32	392
23	33	390
24	35	388
25	36	381
26	37	379
27	40	388
28	40	379
29	42	384
30	43	377
31	44	373
32	45	368
33	45	358
34	47	357
35	48	352
36	48	346
37	49	341
38	50	335
39	50	327
40	51	326
41	52	323
42	55	331
43	60	349
44	64	365
45	65	360
46	66	358
47	67	355
48	68	353
49	71	358
50	73	357
51	73	352
52	76	354
53	76	350
54	77	347
55	81	353
56	82	351
57	83	349
58	86	352
59	87	349
60	91	358
61	92	356
62	94	357
63	96	354
64	97	350
65	97	346
66	98	342
67	100	341
68	103	345
69	104	344
70	107	347
71	108	344
72	111	346
73	112	342
74	113	339
75	114	337
76	115	333
77	115	330
78	116	326
79	117	321
80	119	323
81	120	319
82	124	326
83	126	324
84	127	321
85	128	320
86	133	326
87	135	325
88	137	325
89	138	323
90	139	320
91	140	316
92	141	313
93	142	311
94	146	316
95	148	316
96	149	313
97	151	312
98	152	309
99	155	311
100	159	314
101	162	315
102	163	312
103	164	309
104	164	306
105	167	306
106	167	302
107	168	299
108	170	298
109	171	295
110	173	294
111	173	291
112	174	288
113	175	286
114	176	283
115	176	280
116	178	279
117	179	276
118	180	274
119	182	273
120	182	270
121	183	267
122	184	266
123	185	263
124	186	260
125	190	263
126	191	260
127	191	257
128	194	257
129	195	255
130	196	254
131	197	251
132	198	248
133	199	247
134	200	244
135	201	242
136	203	242
137	209	245
138	209	243
139	211	241
140	212	239
141	213	237
142	214	235
143	215	233
144	217	232
145	218	230
146	219	228
147	220	226
148	222	225
149	223	223
150	224	221
151	228	222
152	229	220
153	230	218
154	235	219
155	235	217
156	238	217
157	239	215
158	240	212
159	241	211
160	242	209
161	243	207
162	245	205
163	246	204
164	247	202
165	248	200
166	248	198
167	249	195
168	253	196
169	255	195
170	259	196
171	260	193
172	262	192
173	262	190
174	263	188
175	264	186
176	265	184
177	266	182
178	266	180
179	267	178
180	268	176
181	270	175
182	271	173
183	272	171
184	272	169
185	273	167
186	278	168
187	279	166
188	280	164
189	280	162
190	281	160
191	282	159
192	284	157
193	284	155
194	285	153
195	290	153
196	291	152
197	297	153
198	300	152
199	302	151
200	304	150
201	305	148
202	306	146
203	307	144
204	309	143
205	311	142
206	315	141
207	320	141
208	320	139
209	321	137
210	326	137
211	330	137
212	331	135
213	333	133
214	333	131
215	335	130
216	337	129
217	339	127
218	341	126
219	341	124
220	343	122
221	346	121
222	346	119
223	347	117
224	347	115
225	349	114
226	351	112
227	352	111
228	353	109
229	355	108
230	356	106
231	357	104
232	358	103
233	360	101
234	360	99
235	365	99
236	366	97
237	370	96
238	371	94
239	372	93
240	373	91
241	373	89
242	374	87
243	375	86
244	376	84
245	377	82
246	378	81
247	379	79
248	380	77
249	382	76
250	387	75
251	389	74
252	393	73
253	398	72
254	398	70
255	400	68
256	401	67
257	403	65
258	404	63
259	407	62
260	408	61
261	410	59
262	411	57
263	412	56
264	414	54
265	414	53
266	417	51
267	418	50
268	420	48
269	424	47
270	425	45
271	425	43
272	426	42
273	428	40
274	429	39
275	429	37
276	430	35
277	431	34
278	432	32
279	433	30
280	434	29
281	438	28
282	439	26
283	440	24
284	441	23
285	443	21
286	444	20
287	445	18
288	445	16
289	447	15
290	448	13
291	450	12
292	451	10
293	456	9
294	458	7
295	459	6
296	461	4
297	462	3
298	466	1
299	468	0
