date,sales,family
2013-01-02,17.0,"LIQUOR,WINE,BEER"
2013-01-03,20.0,"LIQUOR,WINE,BEER"
2013-01-04,33.0,"LIQUOR,WINE,BEER"
2013-01-05,51.0,"LIQUOR,WINE,BEER"
2013-01-07,7.0,"LIQUOR,WINE,BEER"
2013-01-08,17.0,"LIQUOR,WINE,BEER"
2013-01-09,9.0,"LIQUOR,WINE,BEER"
2013-01-10,9.0,"LIQUOR,WINE,BEER"
2013-01-11,29.0,"LIQUOR,WINE,BEER"
2013-01-12,48.0,"LIQUOR,WINE,BEER"
2013-01-14,35.0,"LIQUOR,WINE,BEER"
2013-01-15,17.0,"LIQUOR,WINE,BEER"
2013-01-16,7.0,"LIQUOR,WINE,BEER"
2013-01-17,17.0,"LIQUOR,WINE,BEER"
2013-01-18,41.0,"LIQUOR,WINE,BEER"
2013-01-19,20.0,"LIQUOR,WINE,BEER"
2013-01-21,19.0,"LIQUOR,WINE,BEER"
2013-01-22,5.0,"LIQUOR,WINE,BEER"
2013-01-23,14.0,"LIQUOR,WINE,BEER"
2013-01-24,13.0,"LIQUOR,WINE,BEER"
2013-01-25,31.0,"LIQUOR,WINE,BEER"
2013-01-26,25.0,"LIQUOR,WINE,BEER"
2013-01-28,8.0,"LIQUOR,WINE,BEER"
2013-01-29,26.0,"LIQUOR,WINE,BEER"
2013-01-30,9.0,"LIQUOR,WINE,BEER"
2013-01-31,14.0,"LIQUOR,WINE,BEER"
2013-02-01,36.0,"LIQUOR,WINE,BEER"
2013-02-02,25.0,"LIQUOR,WINE,BEER"
2013-02-04,14.0,"LIQUOR,WINE,BEER"
2013-02-05,9.0,"LIQUOR,WINE,BEER"
2013-02-06,11.0,"LIQUOR,WINE,BEER"
2013-02-07,9.0,"LIQUOR,WINE,BEER"
2013-02-08,20.0,"LIQUOR,WINE,BEER"
2013-02-09,37.0,"LIQUOR,WINE,BEER"
2013-02-10,17.0,"LIQUOR,WINE,BEER"
2013-02-11,23.0,"LIQUOR,WINE,BEER"
2013-02-12,6.0,"LIQUOR,WINE,BEER"
2013-02-13,16.0,"LIQUOR,WINE,BEER"
2013-02-14,26.0,"LIQUOR,WINE,BEER"
2013-02-18,7.0,"LIQUOR,WINE,BEER"
2013-02-19,9.0,"LIQUOR,WINE,BEER"
2013-02-20,18.0,"LIQUOR,WINE,BEER"
2013-02-21,24.0,"LIQUOR,WINE,BEER"
2013-02-22,12.0,"LIQUOR,WINE,BEER"
2013-02-23,21.0,"LIQUOR,WINE,BEER"
2013-02-25,17.0,"LIQUOR,WINE,BEER"
2013-02-26,3.0,"LIQUOR,WINE,BEER"
2013-02-27,9.0,"LIQUOR,WINE,BEER"
2013-02-28,9.0,"LIQUOR,WINE,BEER"
2013-03-01,25.0,"LIQUOR,WINE,BEER"
2013-03-02,64.0,"LIQUOR,WINE,BEER"
2013-03-04,9.0,"LIQUOR,WINE,BEER"
2013-03-05,18.0,"LIQUOR,WINE,BEER"
2013-03-06,30.0,"LIQUOR,WINE,BEER"
2013-03-07,17.0,"LIQUOR,WINE,BEER"
2013-03-08,23.0,"LIQUOR,WINE,BEER"
2013-03-09,61.0,"LIQUOR,WINE,BEER"
2013-03-11,11.0,"LIQUOR,WINE,BEER"
2013-03-12,53.0,"LIQUOR,WINE,BEER"
2013-03-13,9.0,"LIQUOR,WINE,BEER"
2013-03-14,20.0,"LIQUOR,WINE,BEER"
2013-03-15,25.0,"LIQUOR,WINE,BEER"
2013-03-16,47.0,"LIQUOR,WINE,BEER"
2013-03-18,9.0,"LIQUOR,WINE,BEER"
2013-03-19,10.0,"LIQUOR,WINE,BEER"
2013-03-20,10.0,"LIQUOR,WINE,BEER"
2013-03-21,12.0,"LIQUOR,WINE,BEER"
2013-03-22,22.0,"LIQUOR,WINE,BEER"
2013-03-23,47.0,"LIQUOR,WINE,BEER"
2013-03-25,45.0,"LIQUOR,WINE,BEER"
2013-03-26,32.0,"LIQUOR,WINE,BEER"
2013-03-27,15.0,"LIQUOR,WINE,BEER"
2013-03-28,20.0,"LIQUOR,WINE,BEER"
2013-03-29,22.0,"LIQUOR,WINE,BEER"
2013-03-30,65.0,"LIQUOR,WINE,BEER"
2013-04-01,17.0,"LIQUOR,WINE,BEER"
2013-04-02,10.0,"LIQUOR,WINE,BEER"
2013-04-03,7.0,"LIQUOR,WINE,BEER"
2013-04-04,21.0,"LIQUOR,WINE,BEER"
2013-04-05,27.0,"LIQUOR,WINE,BEER"
2013-04-06,34.0,"LIQUOR,WINE,BEER"
2013-04-08,11.0,"LIQUOR,WINE,BEER"
2013-04-09,14.0,"LIQUOR,WINE,BEER"
2013-04-10,16.0,"LIQUOR,WINE,BEER"
2013-04-11,20.0,"LIQUOR,WINE,BEER"
2013-04-12,38.0,"LIQUOR,WINE,BEER"
2013-04-13,53.0,"LIQUOR,WINE,BEER"
2013-04-15,10.0,"LIQUOR,WINE,BEER"
2013-04-16,5.0,"LIQUOR,WINE,BEER"
2013-04-17,15.0,"LIQUOR,WINE,BEER"
2013-04-18,15.0,"LIQUOR,WINE,BEER"
2013-04-19,25.0,"LIQUOR,WINE,BEER"
2013-04-20,45.0,"LIQUOR,WINE,BEER"
2013-04-22,15.0,"LIQUOR,WINE,BEER"
2013-04-23,7.0,"LIQUOR,WINE,BEER"
2013-04-24,10.0,"LIQUOR,WINE,BEER"
2013-04-25,16.0,"LIQUOR,WINE,BEER"
2013-04-26,31.0,"LIQUOR,WINE,BEER"
2013-04-27,56.0,"LIQUOR,WINE,BEER"
2013-04-29,9.0,"LIQUOR,WINE,BEER"
2013-04-30,10.0,"LIQUOR,WINE,BEER"
2013-05-01,75.0,"LIQUOR,WINE,BEER"
2013-05-02,36.0,"LIQUOR,WINE,BEER"
2013-05-03,30.0,"LIQUOR,WINE,BEER"
2013-05-04,53.0,"LIQUOR,WINE,BEER"
2013-05-06,19.0,"LIQUOR,WINE,BEER"
2013-05-07,16.0,"LIQUOR,WINE,BEER"
2013-05-08,16.0,"LIQUOR,WINE,BEER"
2013-05-09,38.0,"LIQUOR,WINE,BEER"
2013-05-10,26.0,"LIQUOR,WINE,BEER"
2013-05-11,123.0,"LIQUOR,WINE,BEER"
2013-05-13,18.0,"LIQUOR,WINE,BEER"
2013-05-14,4.0,"LIQUOR,WINE,BEER"
2013-05-15,29.0,"LIQUOR,WINE,BEER"
2013-05-16,23.0,"LIQUOR,WINE,BEER"
2013-05-17,10.0,"LIQUOR,WINE,BEER"
2013-05-18,49.0,"LIQUOR,WINE,BEER"
2013-05-20,4.0,"LIQUOR,WINE,BEER"
2013-05-21,4.0,"LIQUOR,WINE,BEER"
2013-05-22,23.0,"LIQUOR,WINE,BEER"
2013-05-23,35.0,"LIQUOR,WINE,BEER"
2013-05-24,46.0,"LIQUOR,WINE,BEER"
2013-05-25,61.0,"LIQUOR,WINE,BEER"
2013-05-27,3.0,"LIQUOR,WINE,BEER"
2013-05-28,4.0,"LIQUOR,WINE,BEER"
2013-05-29,22.0,"LIQUOR,WINE,BEER"
2013-05-30,9.0,"LIQUOR,WINE,BEER"
2013-05-31,52.0,"LIQUOR,WINE,BEER"
2013-06-01,47.0,"LIQUOR,WINE,BEER"
2013-06-03,12.0,"LIQUOR,WINE,BEER"
2013-06-04,25.0,"LIQUOR,WINE,BEER"
2013-06-05,15.0,"LIQUOR,WINE,BEER"
2013-06-06,46.0,"LIQUOR,WINE,BEER"
2013-06-07,70.0,"LIQUOR,WINE,BEER"
2013-06-08,71.0,"LIQUOR,WINE,BEER"
2013-06-10,10.0,"LIQUOR,WINE,BEER"
2013-06-11,27.0,"LIQUOR,WINE,BEER"
2013-06-12,4.0,"LIQUOR,WINE,BEER"
2013-06-13,42.0,"LIQUOR,WINE,BEER"
2013-06-14,46.0,"LIQUOR,WINE,BEER"
2013-06-15,71.0,"LIQUOR,WINE,BEER"
2013-06-17,8.0,"LIQUOR,WINE,BEER"
2013-06-18,12.0,"LIQUOR,WINE,BEER"
2013-06-19,14.0,"LIQUOR,WINE,BEER"
2013-06-20,39.0,"LIQUOR,WINE,BEER"
2013-06-21,52.0,"LIQUOR,WINE,BEER"
2013-06-22,41.0,"LIQUOR,WINE,BEER"
